"file","date","composition_name","temp_series","replicate","sample_ID","magnification","predict_spec","mean.dens.ml","biomass","day"
"20260212_049",2026-02-12,"CP","TS2",3,"CP_TS2_3",2.5,"C",695.0856,6.7231005965706e-05,1
"20260212_049",2026-02-12,"CP","TS2",3,"CP_TS2_3",2.5,"P",1289.49656,7.67598032729563e-05,1
"20260212_050",2026-02-12,"CP","TS2",2,"CP_TS2_2",2.5,"C",364.56112,5.41561434637945e-05,1
"20260212_050",2026-02-12,"CP","TS2",2,"CP_TS2_2",2.5,"P",406.79936,9.88912434424474e-05,1
"20260212_051",2026-02-12,"CDLT","TS2",1,"CDLT_TS2_1",2.5,"C",753.93208,4.08875712152839e-05,1
"20260212_051",2026-02-12,"CDLT","TS2",1,"CDLT_TS2_1",2.5,"D",986.2424,4.08456405193199e-05,1
"20260212_051",2026-02-12,"CDLT","TS2",1,"CDLT_TS2_1",2.5,"L",132.04576,4.62364396452846e-06,1
"20260212_051",2026-02-12,"CDLT","TS2",1,"CDLT_TS2_1",2.5,"T",1149.86432,2.88668766766756e-05,1
"20260212_052",2026-02-12,"CDLP","TS2",3,"CDLP_TS2_3",2.5,"C",350.20832,2.45233183994982e-05,1
"20260212_052",2026-02-12,"CDLP","TS2",3,"CDLP_TS2_3",2.5,"D",1609.97408,5.30906999850794e-05,1
"20260212_052",2026-02-12,"CDLP","TS2",3,"CDLP_TS2_3",2.5,"L",445.55192,1.09087472395108e-05,1
"20260212_052",2026-02-12,"CDLP","TS2",3,"CDLP_TS2_3",2.5,"P",603.43272,0.00015466085208131,1
"20260212_053",2026-02-12,"DLP","TS2",1,"DLP_TS2_1",2.5,"D",2379.28416,7.12480571067628e-05,1
"20260212_053",2026-02-12,"DLP","TS2",1,"DLP_TS2_1",2.5,"L",824.67088,1.74237324381772e-05,1
"20260212_053",2026-02-12,"DLP","TS2",1,"DLP_TS2_1",2.5,"P",596.05128,0.00011963208683837,1
"20260212_054",2026-02-12,"LT","TS2",1,"LT_TS2_1",2.5,"L",1967.97392,6.49464789372398e-05,1
"20260212_054",2026-02-12,"LT","TS2",1,"LT_TS2_1",2.5,"T",2124.62448,6.44402449086183e-05,1
"20260212_055",2026-02-12,"CDLP","TS3",3,"CDLP_TS3_3",2.5,"C",447.60232,3.76987984476838e-05,1
"20260212_055",2026-02-12,"CDLP","TS3",3,"CDLP_TS3_3",2.5,"D",1861.7632,6.43735231948378e-05,1
"20260212_055",2026-02-12,"CDLP","TS3",3,"CDLP_TS3_3",2.5,"L",743.06496,1.93245662821425e-05,1
"20260212_055",2026-02-12,"CDLP","TS3",3,"CDLP_TS3_3",2.5,"P",727.68696,0.00010366941942174,1
"20260212_056",2026-02-12,"CDPT","TS3",2,"CDPT_TS3_2",2.5,"C",506.24376,4.54670594118786e-05,1
"20260212_056",2026-02-12,"CDPT","TS3",2,"CDPT_TS3_2",2.5,"D",956.30656,4.74894735359945e-05,1
"20260212_056",2026-02-12,"CDPT","TS3",2,"CDPT_TS3_2",2.5,"P",359.02504,0.00011007266449051,1
"20260212_056",2026-02-12,"CDPT","TS3",2,"CDPT_TS3_2",2.5,"T",462.77528,1.24842646178534e-05,1
"20260212_057",2026-02-12,"CDLT","TS3",2,"CDLT_TS3_2",2.5,"C",574.31704,3.90901155679652e-05,1
"20260212_057",2026-02-12,"CDLT","TS3",2,"CDLT_TS3_2",2.5,"D",1970.84448,7.3746627915188e-05,1
"20260212_057",2026-02-12,"CDLT","TS3",2,"CDLT_TS3_2",2.5,"L",69.09848,2.73048009504575e-06,1
"20260212_057",2026-02-12,"CDLT","TS3",2,"CDLT_TS3_2",2.5,"T",548.68704,1.38830329557723e-05,1
"20260212_058",2026-02-12,"LT","TS3",1,"LT_TS3_1",2.5,"L",1628.0176,5.42553101786154e-05,1
"20260212_058",2026-02-12,"LT","TS3",1,"LT_TS3_1",2.5,"T",1833.67272,5.69948921129728e-05,1
"20260212_059",2026-02-12,"LT","TS3",3,"LT_TS3_3",2.5,"L",1878.98656,5.99117139756981e-05,1
"20260212_059",2026-02-12,"LT","TS3",3,"LT_TS3_3",2.5,"T",2242.1124,5.80201829564673e-05,1
"20260212_060",2026-02-12,"CDLT","TS3",1,"CDLT_TS3_1",2.5,"C",474.25752,3.06665044562459e-05,1
"20260212_060",2026-02-12,"CDLT","TS3",1,"CDLT_TS3_1",2.5,"D",1182.87576,4.94470060899371e-05,1
"20260212_060",2026-02-12,"CDLT","TS3",1,"CDLT_TS3_1",2.5,"L",227.18432,1.07096234986902e-05,1
"20260212_060",2026-02-12,"CDLT","TS3",1,"CDLT_TS3_1",2.5,"T",597.89664,1.84559507873058e-05,1
"20260212_061",2026-02-12,"DLP","TS3",1,"DLP_TS3_1",2.5,"D",2363.49608,7.28135807779087e-05,1
"20260212_061",2026-02-12,"DLP","TS3",1,"DLP_TS3_1",2.5,"L",420.12696,9.74326887861973e-06,1
"20260212_061",2026-02-12,"DLP","TS3",1,"DLP_TS3_1",2.5,"P",440.42592,9.59596159401559e-05,1
"20260212_062",2026-02-12,"DLP","TS3",2,"DLP_TS3_2",2.5,"D",2293.16736,6.98243407983666e-05,1
"20260212_062",2026-02-12,"DLP","TS3",2,"DLP_TS3_2",2.5,"L",452.52328,8.55422187437394e-06,1
"20260212_062",2026-02-12,"DLP","TS3",2,"DLP_TS3_2",2.5,"P",470.15672,0.00010025942048247,1
"20260212_063",2026-02-12,"DLP","TS3",3,"DLP_TS3_3",2.5,"D",2321.25784,6.92504409255641e-05,1
"20260212_063",2026-02-12,"DLP","TS3",3,"DLP_TS3_3",2.5,"L",620.45104,1.41369287448909e-05,1
"20260212_063",2026-02-12,"DLP","TS3",3,"DLP_TS3_3",2.5,"P",650.59192,0.00014574203303709,1
"20260212_064",2026-02-12,"DPT","TS3",2,"DPT_TS3_2",2.5,"D",1366.79664,4.18883882767219e-05,1
"20260212_064",2026-02-12,"DPT","TS3",2,"DPT_TS3_2",2.5,"P",626.60224,0.00016080772327506,1
"20260212_064",2026-02-12,"DPT","TS3",2,"DPT_TS3_2",2.5,"T",542.12576,1.11286770277912e-05,1
"20260212_065",2026-02-12,"CD","TS3",2,"CD_TS3_2",2.5,"C",588.4648,6.59425530567968e-05,1
"20260212_065",2026-02-12,"CD","TS3",2,"CD_TS3_2",2.5,"D",1063.95256,3.84870338772843e-05,1
"20260212_066",2026-02-12,"CDLP","TS3",1,"CDLP_TS3_1",2.5,"C",448.62752,4.31964089632947e-05,1
"20260212_066",2026-02-12,"CDLP","TS3",1,"CDLP_TS3_1",2.5,"D",1621.45632,5.39010317463824e-05,1
"20260212_066",2026-02-12,"CDLP","TS3",1,"CDLP_TS3_1",2.5,"L",522.03184,1.43905915348678e-05,1
"20260212_066",2026-02-12,"CDLP","TS3",1,"CDLP_TS3_1",2.5,"P",500.09256,0.00010370139714584,1
"20260212_067",2026-02-12,"CLT","TS3",1,"CLT_TS3_1",2.5,"C",868.13936,8.09227672299122e-05,1
"20260212_067",2026-02-12,"CLT","TS3",1,"CLT_TS3_1",2.5,"L",436.94024,1.84794897303868e-05,1
"20260212_067",2026-02-12,"CLT","TS3",1,"CLT_TS3_1",2.5,"T",787.76368,2.13583515694279e-05,1
"20260212_068",2026-02-12,"CDLP","TS3",2,"CDLP_TS3_2",2.5,"C",506.85888,3.70224547930837e-05,1
"20260212_068",2026-02-12,"CDLP","TS3",2,"CDLP_TS3_2",2.5,"D",2048.96472,6.36849051153843e-05,1
"20260212_068",2026-02-12,"CDLP","TS3",2,"CDLP_TS3_2",2.5,"L",836.97328,2.53687362458938e-05,1
"20260212_068",2026-02-12,"CDLP","TS3",2,"CDLP_TS3_2",2.5,"P",441.8612,8.88759367161942e-05,1
"20260212_069",2026-02-12,"PT","TS3",3,"PT_TS3_3",2.5,"P",646.08104,0.00014070437272706,1
"20260212_069",2026-02-12,"PT","TS3",3,"PT_TS3_3",2.5,"T",687.29408,8.71857805792817e-06,1
"20260212_070",2026-02-12,"CD","TS3",3,"CD_TS3_3",2.5,"C",781.81752,9.57588405259206e-05,1
"20260212_070",2026-02-12,"CD","TS3",3,"CD_TS3_3",2.5,"D",1640.93512,6.32089472669491e-05,1
"20260212_071",2026-02-12,"CDLT","TS3",3,"CDLT_TS3_3",2.5,"C",766.02944,6.70149065015308e-05,1
"20260212_071",2026-02-12,"CDLT","TS3",3,"CDLT_TS3_3",2.5,"D",1267.35224,4.93625827580294e-05,1
"20260212_071",2026-02-12,"CDLT","TS3",3,"CDLT_TS3_3",2.5,"L",146.80864,4.52607510124271e-06,1
"20260212_071",2026-02-12,"CDLT","TS3",3,"CDLT_TS3_3",2.5,"T",514.6504,1.42612000864728e-05,1
"20260212_072",2026-02-12,"DPT","TS3",3,"DPT_TS3_3",2.5,"D",1499.04744,5.63587777408529e-05,1
"20260212_072",2026-02-12,"DPT","TS3",3,"DPT_TS3_3",2.5,"P",630.498,0.00014273024639416,1
