"","sample_ID","day","predict_spec","temperature","nutrients","composition","biomass","richness","tot_biomass","biom_contribution"
"4398","CDLS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","CDLS",0.0025127767087918,4,0.0025127767087918,1
"4399","CDPS_Tmp_18_21_Nut0.75_1",39,"S","18-21 °C","0.75 g/L","CDPS",0,4,0.0034885262462283,0
"4400","CDPS_Tmp_18_21_Nut0.75_2",39,"S","18-21 °C","0.75 g/L","CDPS",0,4,0.00204466570333289,0
"4401","CDPS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","CDPS",0,4,0.0006028268776668,0
"4402","CLPS_Tmp_18_21_Nut0.75_1",39,"S","18-21 °C","0.75 g/L","CLPS",0,4,0.0044857616609054,0
"4403","CLPS_Tmp_18_21_Nut0.75_2",39,"S","18-21 °C","0.75 g/L","CLPS",0.00420901354971556,4,0.011172332187703,0.37673544601084
"4404","CLPS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","CLPS",0,4,0.000705946442136368,0
"4405","DLS_Tmp_18_21_Nut0.75_1",39,"S","18-21 °C","0.75 g/L","DLS",0.0133231800303439,3,0.0134408403668769,0.991246058034964
"4406","DLS_Tmp_18_21_Nut0.75_2",39,"S","18-21 °C","0.75 g/L","DLS",0.0153460956311251,3,0.0156089764720765,0.983158354974677
"4407","DLS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","DLS",0,3,4.67856485139334e-05,0
"4408","DS_Tmp_18_21_Nut0.75_1",39,"S","18-21 °C","0.75 g/L","DS",0,2,0.00181624115031035,0
"4409","DS_Tmp_18_21_Nut0.75_2",39,"S","18-21 °C","0.75 g/L","DS",0,2,0.00101693068226676,0
"4410","DS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","DS",0,2,0.00113785056772892,0
"4411","LS_Tmp_18_21_Nut0.75_1",39,"S","18-21 °C","0.75 g/L","LS",0.0117018085254517,2,0.0117018085254517,1
"4412","LS_Tmp_18_21_Nut0.75_2",39,"S","18-21 °C","0.75 g/L","LS",0.0391013033021454,2,0.0391013033021454,1
"4413","LS_Tmp_18_21_Nut0.75_3",39,"S","18-21 °C","0.75 g/L","LS",0.0348926193878469,2,0.0348926193878469,1
"4414","CDLS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4415","CDLS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4416","CDLS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","CDLS",0,4,0,NA
"4417","CDPS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","CDPS",0,4,0,NA
"4418","CDPS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","CDPS",0,4,0,NA
"4419","CDPS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","CDPS",0,4,0,NA
"4420","CLPS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","CLPS",0,4,0,NA
"4421","CLPS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","CLPS",0,4,0,NA
"4422","CLPS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","CLPS",0,4,0,NA
"4423","CS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","CS",0,2,0,NA
"4424","CS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","CS",0,2,0,NA
"4425","CS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","CS",0,2,0,NA
"4426","DLS_Tmp_22_25_Nut0.01_1",39,"S","22-25 °C","0.01 g/L","DLS",0,3,0,NA
"4427","DLS_Tmp_22_25_Nut0.01_2",39,"S","22-25 °C","0.01 g/L","DLS",0,3,0,NA
"4428","DLS_Tmp_22_25_Nut0.01_3",39,"S","22-25 °C","0.01 g/L","DLS",0,3,0,NA
